country,admin1,population,events,score
Guinea,Kankan,,523,3
Guinea,Kindia,387292,378,3
Guinea,Labe,216440,224,3
Guinea,Mamou,148118,133,2
Guinea,Nzerekore,473469,359,3
Guinea-Bissau,Bafata,9000,5,1
Guinea-Bissau,Biombo,12567,9,1
Guinea-Bissau,Bissau,25206,292,3
Guinea-Bissau,Bolama,1943,1,1
Guinea-Bissau,Cacheu,25366,33,1
Guinea-Bissau,Gabu,26610,7,1
Guinea-Bissau,Oio,33353,23,1
Guinea-Bissau,Quinara,10904,9,1
Ivory Coast,Abidjan,2879936,1189,3
Ivory Coast,Bas-Sassandra,262734,105,2
Ivory Coast,Montagnes,592449,378,3
Ivory Coast,Comoe,330468,129,2
Ivory Coast,Denguele,60251,31,1
Ivory Coast,Goh-Djiboua,382638,135,2
Ivory Coast,Lacs,258368,137,2
Ivory Coast,Lagunes,410096,183,2
Ivory Coast,Sassandra-Marahoue,460542,175,2
Ivory Coast,Savanes,427973,151,2
Ivory Coast,Vallee du Bandama,202249,236,3
Ivory Coast,Woroba,88250,43,1
Ivory Coast,Yamoussoukro,115861,59,2
Ivory Coast,Zanzan,185396,151,2
Kenya,Baringo,181637,439,3
Kenya,Bomet,287533,136,2
Kenya,Bungoma,,301,3
Kenya,Busia,411887,230,3
Kenya,Elgeyo Marakwet,143039,232,3
Kenya,Embu,208391,219,3
Kenya,Garissa,494392,553,3
Kenya,Homa Bay,349832,290,3
Kenya,Isiolo,54292,339,3
Kenya,Meru,571141,379,3
Kenya,Kajiado,203644,292,3
Kenya,Kakamega,769450,393,3
Kenya,Kericho,347492,188,2
Kenya,Kiambu,955634,623,3
Kenya,Nairobi,1675328,3006,3
Kenya,Kilifi,439641,358,3
Kenya,Kirinyaga,280650,225,3
Kenya,Kisii,791567,422,3
Kenya,Kisumu,550546,555,3
Kenya,Kitui,120583,195,2
Kenya,Kwale,331910,183,2
Kenya,Laikipia,158566,323,3
Kenya,Lamu,59221,353,3
Kenya,Machakos,417126,352,3
Kenya,Makueni,205906,139,2
Kenya,Mandera,780480,611,3
Somalia,Gedo,198621,2288,3
Kenya,West Pokot,197385,246,3
Kenya,Marsabit,108751,359,3
Kenya,Samburu,82202,325,3
Kenya,Migori,465797,359,3
Kenya,Mombasa,1048077,699,3
Kenya,Muranga,552277,230,3
Kenya,Nakuru,968573,813,3
Kenya,Nandi,292186,149,2
Kenya,Narok,204424,348,3
Kenya,Nyamira,299254,133,2
Kenya,Nyandarua,156870,123,2
Kenya,Nyeri,337470,322,3
Kenya,Siaya,370612,262,3
Kenya,Taita Taveta,97004,144,2
Kenya,Tana River,78539,180,2
Kenya,Tharaka-Nithi,134639,102,2
Kenya,Trans Nzoia,301752,270,3
Kenya,Turkana,,614,3
Kenya,Uasin Gishu,432762,419,3
Kenya,Vihiga,257456,94,2
Kenya,Wajir,,233,3
Uganda,Amudat,21699,19,1
Lesotho,Berea,16888,6,1
Lesotho,Butha-Buthe,44471,5,1
Lesotho,Leribe,52382,10,1
